epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8305,1.42258,4.10791,1.47923,0.08375,0.69643,0.15571,0.11775,0.9967,4.47211,1.13485,0.0001111,0.0001111,0.0001111
2,89.3391,1.12853,3.85001,1.32212,0.03836,0.80833,0.27292,0.18438,1.14611,4.53861,1.23489,0.000232155,0.000232155,0.000232155
3,127.797,1.02642,3.34675,1.24469,0.02639,0.94167,0.39487,0.27527,1.01317,4.44922,1.10292,0.000352,0.000352,0.000352
4,163.497,1.20544,2.91814,1.2943,0.01429,0.98095,0.49868,0.34755,1.14411,4.41642,1.21798,0.000470636,0.000470636,0.000470636
5,199.408,1.23162,2.63114,1.36673,1,0.07685,0.68119,0.49607,1.19374,4.39752,1.26897,0.000588061,0.000588061,0.000588061
6,235.384,1.25404,2.34943,1.36817,1,0.10427,0.7288,0.54215,0.96454,4.09079,1.15077,0.000704277,0.000704277,0.000704277
7,271.686,1.2714,2.28373,1.34823,0.88987,0.23833,0.64347,0.36094,1.26691,3.97663,1.40614,0.000819283,0.000819283,0.000819283
8,310.697,1.31865,2.29395,1.34928,0.79839,0.45132,0.67878,0.40749,1.43017,3.99427,1.88484,0.000933078,0.000933078,0.000933078
9,347.975,1.15173,1.97389,1.26807,0.85681,0.8587,0.91187,0.57145,1.45335,3.40951,1.92717,0.00104566,0.00104566,0.00104566
10,384.756,1.2142,1.97096,1.2918,0.52185,0.75532,0.84649,0.53482,1.05012,3.34912,1.32184,0.0010615,0.0010615,0.0010615
11,423.525,1.29419,1.91783,1.34332,0.58847,0.66127,0.79258,0.49538,1.21289,3.53781,1.45579,0.00105601,0.00105601,0.00105601
12,458.453,1.31949,1.81887,1.37272,0.42138,0.86726,0.67287,0.46815,1.0967,4.33655,1.24835,0.00105051,0.00105051,0.00105051
13,496.562,1.21167,2.03295,1.30973,0.54361,0.73577,0.52029,0.34145,1.21204,4.31059,1.3242,0.00104501,0.00104501,0.00104501
14,531.712,1.27525,1.87857,1.3377,0.7883,0.33881,0.55643,0.39759,1.13464,4.38967,1.28388,0.00103951,0.00103951,0.00103951
15,569.332,1.13863,1.55489,1.22097,0.8032,0.50072,0.66164,0.48255,1.09894,3.5033,1.21949,0.00103401,0.00103401,0.00103401
