epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8481,1.0595,3.00782,3.24182,1.32154,0.00549,0.60069,0.1399,0.09159,0.00589,0.63898,0.13156,0.08168,0.86945,2.40859,3.51999,0.9918,0.0001429,0.0001429,0.0001429
2,143.99,0.67612,1.21215,2.76564,1.02965,0.00806,0.75718,0.38725,0.30584,0.00827,0.77419,0.37798,0.29602,0.74307,2.23875,3.43063,0.9435,0.000298605,0.000298605,0.000298605
3,210.814,0.70024,1.03678,2.27905,1.01991,0.0103,0.80565,0.43086,0.37532,0.01074,0.84987,0.43279,0.39395,0.72106,1.21878,3.30612,0.9005,0.000452753,0.000452753,0.000452753
4,278.445,0.76235,0.86115,1.74109,1.05379,0.00741,0.69085,0.4376,0.33802,0.00767,0.81926,0.44007,0.3832,0.83657,1.65592,3.20884,1.03499,0.000605345,0.000605345,0.000605345
5,348.942,0.79472,0.87708,1.43182,1.0879,0.96477,0.11565,0.39956,0.29671,0.9823,0.12245,0.41101,0.32336,0.91345,2.19415,3.03088,1.12793,0.000756381,0.000756381,0.000756381
6,420.088,0.76431,0.83047,1.32007,1.06754,0.8594,0.28634,0.45479,0.29628,0.8594,0.28634,0.45781,0.37747,1.02207,1.98161,2.8792,1.3054,0.000905861,0.000905861,0.000905861
7,493.478,0.76307,0.87421,1.26072,1.06969,0.77362,0.33658,0.56707,0.30683,0.79413,0.34603,0.58582,0.41222,1.17518,2.20083,2.77094,1.56268,0.00105378,0.00105378,0.00105378
8,567.293,0.81053,0.90349,1.22575,1.11228,0.71698,0.34215,0.55526,0.32354,0.74051,0.3647,0.58824,0.39153,1.44883,2.08608,2.74275,1.75243,0.00120015,0.00120015,0.00120015
9,635.111,0.78829,0.83844,1.16452,1.09564,0.53642,0.39405,0.44652,0.28699,0.6408,0.38813,0.50157,0.31321,1.69528,2.61815,2.94936,2.07797,0.00134496,0.00134496,0.00134496
10,709.866,0.76286,0.78226,1.13063,1.05555,0.53109,0.541,0.49763,0.33733,0.79983,0.33054,0.51082,0.36044,1.35167,2.12941,2.49153,1.88362,0.00136534,0.00136534,0.00136534
11,783.755,0.76672,0.7802,1.08741,1.06594,0.89818,0.34905,0.56452,0.39271,0.54833,0.50596,0.49881,0.32651,1.16796,3.03578,2.36068,1.25848,0.00135826,0.00135826,0.00135826
12,856.769,0.73375,0.80351,1.01231,1.03332,0.74988,0.56315,0.7312,0.51311,0.76446,0.57868,0.71393,0.54915,1.07169,1.71039,2.04688,1.13283,0.00135119,0.00135119,0.00135119
13,928.646,0.73705,0.78419,1.03907,1.05243,0.6623,0.47351,0.60085,0.37962,0.67167,0.48372,0.58548,0.42971,1.34246,1.43293,2.3028,1.47422,0.00134412,0.00134412,0.00134412
14,999.833,0.76194,0.77039,1.02207,1.05791,0.77472,0.67745,0.77832,0.53305,0.77228,0.68356,0.74088,0.5367,1.06228,1.17463,1.8232,1.25105,0.00133704,0.00133704,0.00133704
15,1074.73,0.70809,0.79228,0.96503,1.03008,0.60134,0.82012,0.7879,0.46946,0.80191,0.65078,0.77238,0.48819,1.02286,1.59886,2.07291,1.23066,0.00132997,0.00132997,0.00132997
16,1147.71,0.73972,0.83536,0.96518,1.04248,0.68316,0.76644,0.81294,0.53698,0.63983,0.64511,0.72807,0.50491,1.01994,1.32737,1.96195,1.15335,0.0013229,0.0013229,0.0013229
17,1219.01,0.67098,0.7596,0.9135,1.0139,0.66305,0.70114,0.74299,0.58182,0.66844,0.70454,0.72884,0.56025,0.89658,1.20931,1.85376,1.03848,0.00131582,0.00131582,0.00131582
18,1280.53,0.70732,0.7396,0.92316,1.05144,0.65323,0.77887,0.85133,0.61816,0.65389,0.77119,0.84174,0.63911,0.93677,1.10836,1.61919,1.00709,0.00130875,0.00130875,0.00130875
19,1339.27,0.68605,0.76758,0.8827,1.04005,0.79987,0.76189,0.79643,0.5229,0.81416,0.77759,0.79898,0.56443,1.1232,1.19005,1.70983,1.19143,0.00130168,0.00130168,0.00130168
20,1399.55,0.68227,0.79818,0.86909,1.03256,0.75132,0.79512,0.84585,0.51454,0.75894,0.80425,0.81562,0.50846,1.09068,1.81314,1.60396,1.15379,0.0012946,0.0012946,0.0012946
21,1457.98,0.68826,0.70854,0.86683,1.03169,0.6873,0.82145,0.86208,0.49934,0.63489,0.77716,0.79723,0.52797,1.13282,1.2313,1.70131,1.23202,0.00128753,0.00128753,0.00128753
22,1516.32,0.69029,0.70399,0.82969,1.01966,0.80445,0.83027,0.8652,0.54337,0.80163,0.83294,0.84733,0.58465,1.09404,1.20767,1.76182,1.21932,0.00128046,0.00128046,0.00128046
23,1573.96,0.67931,0.7513,0.84181,1.01956,0.75968,0.79119,0.82871,0.60593,0.75968,0.79119,0.81462,0.62304,0.89493,1.0542,1.33903,1.01347,0.00127338,0.00127338,0.00127338
24,1631.53,0.67376,0.72877,0.86048,1.02718,0.86275,0.80339,0.86633,0.65236,0.87737,0.8176,0.86222,0.61307,0.87484,1.0107,1.3491,1.01352,0.00126631,0.00126631,0.00126631
25,1687.62,0.65889,0.69996,0.79448,1.02189,0.63319,0.81779,0.77947,0.47758,0.61885,0.79586,0.71951,0.41221,1.00576,1.86118,1.5826,1.05787,0.00125923,0.00125923,0.00125923
26,1746.94,0.67089,0.73908,0.79324,1.00696,0.66035,0.68582,0.71351,0.42372,0.64912,0.6593,0.71721,0.40056,1.0418,1.47734,1.75731,1.13285,0.00125216,0.00125216,0.00125216
27,1807.12,0.66279,0.69106,0.77717,1.023,0.75951,0.85208,0.82796,0.62229,0.74952,0.75993,0.79695,0.57711,0.78327,1.07767,1.29102,0.90811,0.00124509,0.00124509,0.00124509
28,1867.99,0.66713,0.66469,0.74952,1.01487,0.84133,0.69874,0.81754,0.59102,0.84415,0.70214,0.79579,0.6646,0.84104,1.0107,1.29594,0.97086,0.00123801,0.00123801,0.00123801
